@relation 'countyData-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 3 -A \"weka.core.ManhattanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute population numeric
@attribute fire_dept numeric
@attribute hospital numeric
@attribute powerplant numeric
@attribute cluster {cluster1,cluster2,cluster3}

@data

0.119754,0.361111,0.266667,0.3,cluster2
0.017645,0.259259,0.133333,0.1,cluster1
0.552139,0,0.466667,0.15,cluster3
0.07831,0.324074,0.133333,0.075,cluster2
0.030194,0.333333,0.066667,0.05,cluster1
0.030078,0.268519,0.066667,0.125,cluster1
0.05203,0.388889,0.333333,0.15,cluster2
0.033599,0.194444,0.133333,0.025,cluster1
0.018257,0.185185,0.066667,0,cluster1
0.030918,0.194444,0.066667,0.375,cluster1
0.023305,0.287037,0.066667,0.025,cluster1
0.017801,0.111111,0.066667,0,cluster1
0.017259,0.268519,0.266667,0,cluster1
0.117067,0.342593,0.2,0.1,cluster2
0.365701,0.842593,0.666667,0.175,cluster3
0.013814,0.222222,0.133333,0.1,cluster1
0.018706,0.175926,0.133333,0.225,cluster1
0.020279,0.157407,0.066667,0.075,cluster1
0.022098,0.166667,0.066667,0.075,cluster1
0.017755,0.25,0,0.1,cluster1
0,0.101852,0,0,cluster1
0.023874,0.185185,0.066667,0.225,cluster1
0.04456,0.407407,0.2,0.475,cluster2
1,0,0.933333,0.25,cluster3
0.008901,0.12963,0.066667,0.6,cluster1
0.024224,0.175926,0.066667,0,cluster1
0.027444,0.212963,0.133333,0.1,cluster1
0.295819,0.333333,0.333333,0.275,cluster2
0.018154,0.175926,0.133333,0,cluster1
0.533907,0.648148,0.8,0.425,cluster3
0.632449,0.009259,1,0.275,cluster3
0.084658,0.296296,0.333333,0.25,cluster2
0.092022,0.462963,0.2,0.3,cluster2
0.184886,0.490741,0.266667,0.175,cluster2
0.04124,0.25,0.2,0.15,cluster2
0.147199,0.481481,0.333333,0.2,cluster2
0.01522,0.111111,0.066667,0.05,cluster1
0.046912,0.277778,0.066667,0.45,cluster2
0.02297,0.277778,0.133333,0.05,cluster1
0.037952,0.12037,0.066667,0.025,cluster1
0.890403,0.009259,0.6,0.35,cluster3
0.061841,0.388889,0.133333,0.225,cluster2
0.185568,0,0.133333,0.075,cluster1
0.122747,0.240741,0.266667,0.125,cluster2
0.042846,0.37963,0.333333,0.95,cluster2
0.085913,0.305556,0.066667,0.45,cluster2
0.05996,0.203704,0.133333,0,cluster1
0.011166,0.157407,0.066667,0.025,cluster1
0.005403,0.083333,0.066667,0,cluster1
0.012167,0.12037,0,0.025,cluster1
0.037664,0.407407,0.2,0.225,cluster2
0.595438,1,0.733333,1,cluster3
0.029086,0.37037,0.066667,0.2,cluster2
0.018517,0.138889,0,0,cluster1
0.038693,0.157407,0.066667,0.175,cluster1
0.071067,0.472222,0.2,0.1,cluster2
0.02435,0.212963,0.066667,0.075,cluster1
0.023353,0.231481,0,0.125,cluster1
0.035576,0.268519,0.066667,0.05,cluster1
0.377731,0.527778,0.933333,0.125,cluster3
0.014928,0.166667,0.066667,0.2,cluster1
0.008205,0.092593,0.066667,0.025,cluster1
